Trade Date,Settle
1971-01-04,0.898715
1971-01-05,0.898311
1971-01-06,0.897666
1971-01-07,0.897827
1971-01-08,0.898957
1971-01-11,0.8967
1971-01-12,0.896379
1971-01-13,0.895656
1971-01-14,0.893735
1971-01-15,0.894294
1971-01-18,0.894534
1971-01-19,0.893416
1971-01-20,0.893416
1971-01-21,0.893017
1971-01-22,0.892538
1971-01-25,0.890948
1971-01-26,0.890472
1971-01-27,0.890472
1971-01-28,0.890155
1971-01-29,0.889996
1971-02-01,0.889601
1971-02-02,0.88968
1971-02-03,0.889601
1971-02-04,0.890234
1971-02-05,0.890948
1971-02-08,0.88968
1971-02-09,0.890789
1971-02-10,0.890551
1971-02-11,0.890551
1971-02-16,0.889284
1971-02-17,0.889284
1971-02-18,0.889363
1971-02-19,0.889363
1971-02-22,0.889284
1971-02-23,0.889284
1971-02-24,0.889284
1971-02-25,0.889838
1971-02-26,0.890472
1971-03-01,0.890393
1971-03-02,0.889601
1971-03-03,0.889284
1971-03-04,0.889759
1971-03-05,0.889601
1971-03-08,0.889284
1971-03-09,0.889363
1971-03-10,0.889284
1971-03-11,0.889442
1971-03-12,0.889284
1971-03-15,0.889284
1971-03-16,0.889601
1971-03-17,0.889205
1971-03-18,0.889363
1971-03-19,0.889363
1971-03-22,0.889284
1971-03-23,0.889284
1971-03-24,0.889205
1971-03-25,0.889601
1971-03-26,0.889442
1971-03-29,0.889205
1971-03-30,0.88968
1971-03-31,0.890155
1971-04-01,0.890948
1971-04-02,0.891822
1971-04-05,0.890472
1971-04-06,0.889442
1971-04-07,0.890155
1971-04-08,0.890234
1971-04-09,0.890234
1971-04-12,0.890155
1971-04-13,0.890234
1971-04-14,0.889759
1971-04-15,0.889521
1971-04-16,0.889521
1971-04-19,0.889284
1971-04-20,0.889284
1971-04-21,0.889205
1971-04-22,0.889521
1971-04-23,0.889442
1971-04-26,0.889442
1971-04-27,0.889363
1971-04-28,0.889205
1971-04-29,0.889284
1971-04-30,0.889284
1971-05-03,0.889442
1971-05-04,0.889521
1971-05-05,0.889205
1971-05-06,0.889521
1971-05-07,0.889442
1971-05-10,0.889996
1971-05-11,0.890076
1971-05-12,0.88968
1971-05-13,0.88968
1971-05-14,0.889521
1971-05-17,0.889284
1971-05-18,0.889363
1971-05-19,0.889205
1971-05-20,0.889284
1971-05-21,0.889205
1971-05-24,0.889205
1971-05-25,0.889363
1971-05-26,0.889205
1971-05-27,0.889442
1971-05-28,0.889838
1971-06-01,0.890393
1971-06-02,0.890155
1971-06-03,0.889442
1971-06-04,0.889363
1971-06-07,0.889284
1971-06-08,0.889442
1971-06-09,0.889205
1971-06-10,0.889284
1971-06-11,0.889205
1971-06-14,0.889521
1971-06-15,0.889521
1971-06-16,0.889284
1971-06-17,0.889442
1971-06-18,0.889363
1971-06-21,0.889363
1971-06-22,0.889363
1971-06-23,0.889205
1971-06-24,0.889363
1971-06-25,0.889363
1971-06-28,0.889521
1971-06-29,0.889363
1971-06-30,0.889205
1971-07-01,0.889442
1971-07-02,0.889442
1971-07-06,0.88968
1971-07-07,0.889521
1971-07-08,0.889521
1971-07-09,0.889601
1971-07-12,0.88968
1971-07-13,0.889759
1971-07-14,0.889521
1971-07-15,0.889521
1971-07-16,0.889442
1971-07-19,0.88968
1971-07-20,0.88968
1971-07-21,0.889363
1971-07-22,0.889442
1971-07-23,0.889442
1971-07-26,0.889759
1971-07-27,0.889838
1971-07-28,0.889601
1971-07-29,0.889601
1971-07-30,0.889601
1971-08-02,0.889917
1971-08-03,0.890076
1971-08-04,0.889284
1971-08-05,0.88968
1971-08-06,0.889601
1971-08-09,0.889284
1971-08-10,0.889521
1971-08-11,0.889126
1971-08-12,0.889205
1971-08-13,0.889205
1971-08-23,0.883548
1971-08-24,0.880049
1971-08-25,0.875044
1971-08-26,0.870171
1971-08-27,0.871232
1971-08-30,0.871764
1971-08-31,0.876732
1971-09-01,0.876501
1971-09-02,0.875427
1971-09-03,0.874738
1971-09-07,0.87512
1971-09-08,0.87512
1971-09-09,0.875044
1971-09-10,0.874814
1971-09-13,0.874508
1971-09-14,0.87222
1971-09-15,0.870701
1971-09-16,0.870701
1971-09-17,0.870322
1971-09-20,0.869565
1971-09-21,0.869868
1971-09-22,0.869565
1971-09-23,0.867303
1971-09-24,0.866626
1971-09-27,0.867303
1971-09-28,0.868206
1971-09-29,0.866176
1971-09-30,0.865876
1971-10-01,0.864304
1971-10-04,0.864379
1971-10-05,0.86423
1971-10-06,0.864528
