Trade Date,Settle
1953-09-01,4.286589
1953-09-02,4.286589
1953-09-03,4.286152
1953-09-04,4.286589
1953-09-05,4.286152
1953-09-07,4.286152
1953-09-08,4.286589
1953-09-09,4.286589
1953-09-10,4.286589
1953-09-11,4.286152
1953-09-12,4.286152
1953-09-14,4.286152
1953-09-15,4.286589
1953-09-16,4.286589
1953-09-17,4.286589
1953-09-18,4.286589
1953-09-19,4.286589
1953-09-21,4.286589
1953-09-22,4.286589
1953-09-23,4.287464
1953-09-24,4.288778
1953-09-25,4.287683
1953-09-26,4.287464
1953-09-28,4.287902
1953-09-29,4.287902
1953-09-30,4.287902
1953-10-01,4.287902
1953-10-02,4.287902
1953-10-03,4.287902
1953-10-05,4.287902
1953-10-06,4.28834
1953-10-07,4.28834
1953-10-08,4.29053
1953-10-09,4.291845
1953-10-10,4.291407
1953-10-12,4.291407
1953-10-13,4.291407
1953-10-14,4.292723
1953-10-15,4.292723
1953-10-16,4.291845
1953-10-17,4.290969
1953-10-19,4.290969
1953-10-20,4.289216
1953-10-21,4.289216
1953-10-22,4.287902
1953-10-23,4.290092
1953-10-24,4.290092
1953-10-26,4.289654
1953-10-27,4.291407
1953-10-28,4.291845
1953-10-29,4.294039
1953-10-30,4.293162
1953-10-31,4.291845
1953-11-02,4.293162
1953-11-03,4.292723
1953-11-04,4.293162
1953-11-05,4.2936
1953-11-06,4.294479
1953-11-07,4.294039
1953-11-09,4.298874
1953-11-10,4.297994
1953-11-11,4.298874
1953-11-12,4.297994
1953-11-13,4.298434
1953-11-14,4.299314
1953-11-16,4.303279
1953-11-17,4.306809
1953-11-19,4.300635
1953-11-20,4.30372
1953-11-21,4.305484
1953-11-23,4.305043
1953-11-24,4.30372
1953-11-25,4.30372
1953-11-26,4.305926
1953-11-27,4.303279
1953-11-28,4.304161
1953-11-30,4.30372
1953-12-01,4.302838
1953-12-02,4.30372
1953-12-03,4.301956
1953-12-04,4.300195
1953-12-05,4.297554
1953-12-07,4.299974
1953-12-08,4.298434
1953-12-09,4.300195
1953-12-10,4.299314
1953-12-11,4.299314
1953-12-12,4.298654
1953-12-14,4.298874
1953-12-15,4.299314
1953-12-16,4.294479
1953-12-17,4.292284
1953-12-18,4.291407
1953-12-19,4.291407
1953-12-21,4.29053
