Trade Date,Settle
1957-01-02,1.894005
1957-01-03,1.894005
1957-01-04,1.894095
1957-01-05,1.894185
1957-01-07,1.893597
1957-01-08,1.8931
1957-01-09,1.893688
1957-01-10,1.893688
1957-01-11,1.892513
1957-01-12,1.892017
1957-01-14,1.892694
1957-01-15,1.892197
1957-01-16,1.891701
1957-01-17,1.892287
1957-01-18,1.892287
1957-01-19,1.893461
1957-01-21,1.893461
1957-01-22,1.892964
1957-01-23,1.892377
1957-01-24,1.891881
1957-01-25,1.893054
1957-01-26,1.893099
1957-01-28,1.893777
1957-01-29,1.893777
1957-01-30,1.893325
1957-01-31,1.893325
1957-02-01,1.892738
1957-02-02,1.893415
1957-02-04,1.892828
1957-02-05,1.892241
1957-02-06,1.892241
1957-02-07,1.892828
1957-02-08,1.892828
1957-02-09,1.892828
1957-02-11,1.892241
1957-02-12,1.891655
1957-02-13,1.892331
1957-02-14,1.892331
1957-02-15,1.893008
1957-02-16,1.892421
1957-02-18,1.892421
1957-02-19,1.892421
1957-02-20,1.892421
1957-02-21,1.893008
1957-02-22,1.892376
1957-02-23,1.892376
1957-02-25,1.892963
1957-02-26,1.892376
1957-02-27,1.892376
1957-02-28,1.892376
1957-03-01,1.89179
1957-03-02,1.89179
1957-03-04,1.892421
1957-03-05,1.891835
1957-03-06,1.89188
1957-03-07,1.891384
1957-03-08,1.891429
1957-03-09,1.891429
1957-03-11,1.891429
1957-03-12,1.892015
1957-03-13,1.892015
1957-03-14,1.892015
1957-03-15,1.892601
1957-03-16,1.892601
1957-03-18,1.893775
1957-03-19,1.894363
1957-03-20,1.894363
1957-03-21,1.894363
1957-03-22,1.893188
1957-03-23,1.893188
1957-03-25,1.892601
1957-03-26,1.893188
1957-03-27,1.892692
1957-03-28,1.892692
1957-03-29,1.892692
1957-03-30,1.893278
1957-04-01,1.893513
1957-04-02,1.893603
1957-04-03,1.892664
1957-04-04,1.892664
1957-04-05,1.892664
1957-04-06,1.892547
1957-04-08,1.892547
1957-04-09,1.892078
1957-04-10,1.892195
1957-04-11,1.892313
1957-04-12,1.892313
1957-04-13,1.892313
1957-04-15,1.892195
1957-04-16,1.892078
1957-04-17,1.891961
1957-04-18,1.892078
1957-04-23,1.89224
1957-04-24,1.892123
1957-04-25,1.892006
1957-04-26,1.891871
1957-04-27,1.891826
1957-04-29,1.891943
1957-04-30,1.891808
1957-05-02,1.891691
1957-05-03,1.891574
1957-05-04,1.891456
1957-05-06,1.891339
1957-05-07,1.891294
1957-05-08,1.891177
1957-05-09,1.891366
1957-05-10,1.891276
1957-05-11,1.891276
1957-05-13,1.891348
1957-05-14,1.891303
1957-05-15,1.891448
1957-05-16,1.891331
1957-05-17,1.891213
1957-05-18,1.891213
1957-05-20,1.891141
1957-05-21,1.891024
1957-05-22,1.890907
1957-05-23,1.890277
1957-05-24,1.890043
1957-05-25,1.889926
1957-05-27,1.889692
1957-05-28,1.889692
1957-05-29,1.889665
1957-05-31,1.889782
1957-06-01,1.889458
1957-06-03,1.889692
1957-06-04,1.889719
1957-06-05,1.889746
1957-06-06,1.889746
1957-06-07,1.890052
1957-06-11,1.889818
1957-06-12,1.889818
1957-06-13,1.889791
1957-06-14,1.889674
1957-06-15,1.889557
1957-06-18,1.889719
1957-06-19,1.889764
1957-06-21,1.889881
1957-06-22,1.889764
1957-06-24,1.889836
1957-06-25,1.889719
1957-06-26,1.889881
1957-06-27,1.890043
1957-06-28,1.889926
1957-06-29,1.890043
1957-07-01,1.889809
1957-07-02,1.889809
1957-07-03,1.889926
1957-07-04,1.889926
1957-07-05,1.889926
1957-07-06,1.889809
1957-07-08,1.889926
1957-07-09,1.889926
1957-07-10,1.889809
1957-07-11,1.889809
1957-07-12,1.889809
1957-07-13,1.889809
1957-07-15,1.889809
1957-07-16,1.889809
1957-07-17,1.889809
1957-07-18,1.889809
1957-07-19,1.889809
1957-07-20,1.889809
1957-07-22,1.889809
1957-07-23,1.889764
1957-07-24,1.889764
1957-07-25,1.889764
1957-07-26,1.889764
1957-07-27,1.889809
1957-07-29,1.889809
1957-07-30,1.889809
1957-07-31,1.889809
1957-08-01,1.889764
1957-08-02,1.889764
1957-08-03,1.889764
1957-08-05,1.889764
1957-08-06,1.889764
1957-08-07,1.889764
1957-08-08,1.889836
1957-08-09,1.889719
1957-08-10,1.889719
1957-08-12,1.889953
1957-08-13,1.889836
1957-08-14,1.889836
1957-08-15,1.889836
1957-08-16,1.889746
1957-08-17,1.889863
1957-08-19,1.889746
1957-08-20,1.889746
1957-08-21,1.889746
1957-08-22,1.889746
1957-08-23,1.889908
1957-08-24,1.889998
1957-08-26,1.889998
1957-08-27,1.889881
1957-08-28,1.889881
1957-08-29,1.889998
1957-08-30,1.890115
1957-08-31,1.889881
1957-09-02,1.89016
1957-09-03,1.890088
1957-09-04,1.890088
1957-09-05,1.890205
1957-09-06,1.890322
1957-09-07,1.890439
1957-09-09,1.890439
1957-09-10,1.891962
1957-09-11,1.891376
1957-09-12,1.891258
1957-09-13,1.891258
1957-09-14,1.892196
1957-09-16,1.891727
1957-09-17,1.891493
1957-09-18,1.891962
1957-09-19,1.891962
1957-09-20,1.89161
1957-09-21,1.891727
1957-09-23,1.89161
1957-09-24,1.891258
1957-09-25,1.890088
1957-09-26,1.891024
1957-09-27,1.890907
1957-09-28,1.89161
1957-09-30,1.89079
1957-10-01,1.890673
1957-10-02,1.890907
1957-10-03,1.890673
1957-10-04,1.890907
1957-10-05,1.890322
1957-10-07,1.890322
1957-10-08,1.890088
1957-10-09,1.889854
1957-10-10,1.889737
1957-10-11,1.889854
1957-10-12,1.889737
1957-10-14,1.889971
1957-10-15,1.88962
1957-10-16,1.88962
1957-10-17,1.889737
1957-10-18,1.88962
1957-10-19,1.889386
1957-10-21,1.889269
1957-10-22,1.888451
1957-10-23,1.888451
1957-10-24,1.888568
1957-10-25,1.889737
1957-10-26,1.889503
1957-10-28,1.889737
1957-10-29,1.889737
1957-10-30,1.889737
1957-10-31,1.890205
1957-11-01,1.890205
1957-11-02,1.890205
1957-11-04,1.890205
1957-11-05,1.889971
1957-11-06,1.890205
1957-11-07,1.889971
1957-11-08,1.889971
1957-11-09,1.890133
1957-11-11,1.890016
