Trade Date,Settle
1953-08-10,0.359066
1953-08-11,0.359036
1953-08-12,0.359066
1953-08-13,0.359097
1953-08-14,0.359097
1953-08-15,0.359036
1953-08-17,0.359036
1953-08-18,0.359066
1953-08-19,0.359097
1953-08-20,0.359066
1953-08-21,0.359036
1953-08-22,0.358944
1953-08-24,0.358944
1953-08-25,0.358913
1953-08-26,0.358913
1953-08-27,0.358852
1953-08-28,0.358698
1953-08-29,0.358423
1953-08-31,0.358545
1953-09-01,0.359005
1953-09-02,0.358913
1953-09-03,0.358668
1953-09-04,0.35876
1953-09-05,0.358882
1953-09-07,0.359097
1953-09-08,0.359005
1953-09-09,0.359312
1953-09-10,0.359281
1953-09-11,0.359466
1953-09-12,0.359497
1953-09-14,0.359589
1953-09-15,0.359651
1953-09-16,0.359589
1953-09-17,0.359466
1953-09-18,0.359404
1953-09-19,0.359128
1953-09-21,0.359159
1953-09-22,0.359128
1953-09-23,0.359343
1953-09-24,0.359374
1953-09-25,0.359589
1953-09-26,0.359527
1953-09-28,0.359497
1953-09-29,0.359497
1953-09-30,0.359497
1953-10-01,0.359343
1953-10-02,0.35922
1953-10-03,0.359097
1953-10-05,0.359097
1953-10-06,0.359159
1953-10-07,0.35922
1953-10-08,0.359189
1953-10-09,0.359066
1953-10-10,0.359036
1953-10-12,0.359097
1953-10-13,0.359066
1953-10-14,0.359005
1953-10-15,0.358882
1953-10-16,0.358882
1953-10-17,0.358944
1953-10-19,0.359066
1953-10-20,0.359097
1953-10-21,0.359066
1953-10-22,0.359036
1953-10-23,0.359066
1953-10-24,0.359066
1953-10-26,0.359066
1953-10-27,0.359036
1953-10-28,0.359005
1953-10-29,0.358944
1953-10-30,0.358882
1953-10-31,0.358974
1953-11-02,0.358913
1953-11-03,0.358913
1953-11-04,0.358913
1953-11-05,0.358882
1953-11-06,0.358882
1953-11-07,0.358852
1953-11-09,0.358852
1953-11-10,0.358668
1953-11-11,0.358545
1953-11-12,0.358515
1953-11-13,0.358423
1953-11-14,0.358484
1953-11-16,0.358668
1953-11-17,0.358515
1953-11-19,0.358484
1953-11-20,0.358484
1953-11-21,0.358454
1953-11-23,0.358392
1953-11-24,0.358484
1953-11-25,0.358423
1953-11-26,0.358392
1953-11-27,0.358362
1953-11-28,0.358423
1953-11-30,0.358515
1953-12-01,0.358545
1953-12-02,0.358423
1953-12-03,0.358454
1953-12-04,0.358576
1953-12-05,0.358637
1953-12-07,0.358637
1953-12-08,0.358668
1953-12-09,0.35879
1953-12-10,0.359097
1953-12-11,0.35922
1953-12-12,0.359005
1953-12-14,0.358882
1953-12-15,0.359005
1953-12-16,0.358974
1953-12-17,0.359128
1953-12-18,0.358974
1953-12-19,0.35922
1953-12-21,0.359312
1953-12-22,0.359497
1953-12-23,0.359651
1953-12-24,0.359343
1953-12-28,0.359497
1953-12-29,0.359681
1953-12-30,0.359466
1953-12-31,0.35962
1954-01-04,0.359589
1954-01-05,0.359497
1954-01-06,0.359527
1954-01-07,0.35962
1954-01-08,0.359558
1954-01-09,0.359589
1954-01-11,0.359558
1954-01-12,0.359558
1954-01-13,0.359497
1954-01-14,0.359466
1954-01-15,0.359312
1954-01-16,0.359343
1954-01-18,0.359251
1954-01-19,0.359189
1954-01-20,0.359066
1954-01-21,0.359189
1954-01-22,0.359281
1954-01-23,0.359251
1954-01-25,0.359189
1954-01-26,0.359128
1954-01-27,0.359066
1954-01-28,0.359005
1954-01-29,0.358852
1954-01-30,0.359005
1954-02-01,0.359066
1954-02-02,0.358974
1954-02-03,0.358882
1954-02-04,0.359005
1954-02-05,0.358944
1954-02-06,0.358974
1954-02-08,0.359005
1954-02-09,0.358974
1954-02-10,0.358913
1954-02-11,0.358882
1954-02-12,0.358944
1954-02-13,0.358974
1954-02-15,0.358944
1954-02-16,0.358944
1954-02-17,0.358974
1954-02-18,0.358944
1954-02-19,0.358882
1954-02-20,0.358882
1954-02-22,0.358821
1954-02-23,0.358821
1954-02-24,0.358821
1954-02-25,0.358729
1954-02-26,0.358637
1954-02-27,0.35876
1954-03-01,0.358698
1954-03-02,0.358698
1954-03-03,0.358637
1954-03-04,0.358576
1954-03-05,0.358515
1954-03-06,0.358515
1954-03-08,0.358484
1954-03-09,0.358576
1954-03-10,0.358698
1954-03-11,0.358729
1954-03-12,0.358668
1954-03-13,0.358698
1954-03-15,0.358698
1954-03-16,0.358698
1954-03-17,0.358698
1954-03-18,0.358698
1954-03-19,0.358607
1954-03-20,0.358362
1954-03-22,0.358515
1954-03-23,0.358454
1954-03-24,0.358423
1954-03-25,0.358209
1954-03-26,0.358148
1954-03-27,0.358209
1954-03-29,0.358209
1954-03-30,0.358301
1954-03-31,0.358117
1954-04-01,0.358026
1954-04-02,0.357904
1954-04-03,0.357904
1954-04-05,0.357904
1954-04-06,0.357934
1954-04-07,0.357995
1954-04-08,0.358056
1954-04-09,0.357934
1954-04-10,0.357873
1954-04-12,0.357751
1954-04-13,0.357721
1954-04-14,0.357812
1954-04-15,0.357751
1954-04-20,0.35766
1954-04-21,0.357447
1954-04-22,0.357143
1954-04-23,0.357143
1954-04-24,0.357143
1954-04-26,0.357173
1954-04-27,0.357143
1954-04-28,0.357143
1954-04-29,0.357173
1954-04-30,0.357143
1954-05-03,0.356991
1954-05-04,0.356779
