Trade Date,Settle
1971-01-04,0.897827
1971-01-05,0.897424
1971-01-06,0.896781
1971-01-07,0.896861
1971-01-08,0.896539
1971-01-11,0.895817
1971-01-12,0.895496
1971-01-13,0.894694
1971-01-14,0.892857
1971-01-15,0.893416
1971-01-18,0.893575
1971-01-19,0.892459
1971-01-20,0.892538
1971-01-21,0.892061
1971-01-22,0.891663
1971-01-25,0.889996
1971-01-26,0.889601
1971-01-27,0.889521
1971-01-28,0.889205
1971-01-29,0.889047
1971-02-01,0.888652
1971-02-02,0.88881
1971-02-03,0.888652
1971-02-04,0.889284
1971-02-05,0.890076
1971-02-08,0.888731
1971-02-09,0.889917
1971-02-10,0.889601
1971-02-11,0.88968
1971-02-16,0.888336
1971-02-17,0.888336
1971-02-18,0.888415
1971-02-19,0.888494
1971-02-22,0.888415
1971-02-23,0.888336
1971-02-24,0.888336
1971-02-25,0.888968
1971-02-26,0.889601
1971-03-01,0.889521
1971-03-02,0.888652
1971-03-03,0.888336
1971-03-04,0.888889
1971-03-05,0.888731
1971-03-08,0.888415
1971-03-09,0.888415
1971-03-10,0.888415
1971-03-11,0.888573
1971-03-12,0.888336
1971-03-15,0.888336
1971-03-16,0.888731
1971-03-17,0.888336
1971-03-18,0.888494
1971-03-19,0.888494
1971-03-22,0.888336
1971-03-23,0.888336
1971-03-24,0.888336
1971-03-25,0.888652
1971-03-26,0.888573
1971-03-29,0.888336
1971-03-30,0.88881
1971-03-31,0.889284
1971-04-01,0.890076
1971-04-02,0.890869
1971-04-05,0.889521
1971-04-06,0.888494
1971-04-07,0.889205
1971-04-08,0.889284
1971-04-09,0.889284
1971-04-12,0.889205
1971-04-13,0.889284
1971-04-14,0.888889
1971-04-15,0.888573
1971-04-16,0.888652
1971-04-19,0.888415
1971-04-20,0.888336
1971-04-21,0.888257
1971-04-22,0.888573
1971-04-23,0.888494
1971-04-26,0.888573
1971-04-27,0.888494
1971-04-28,0.888257
1971-04-29,0.888415
1971-04-30,0.888336
1971-05-03,0.888494
1971-05-04,0.888652
1971-05-05,0.888336
1971-05-06,0.888652
1971-05-07,0.888494
1971-05-10,0.889047
1971-05-11,0.889205
1971-05-12,0.888731
1971-05-13,0.888731
1971-05-14,0.888652
1971-05-17,0.888415
1971-05-18,0.888494
1971-05-19,0.888336
1971-05-20,0.888415
1971-05-21,0.888336
1971-05-24,0.888336
1971-05-25,0.888494
1971-05-26,0.888336
1971-05-27,0.888573
1971-05-28,0.888889
1971-06-01,0.889442
1971-06-02,0.889205
1971-06-03,0.888573
1971-06-04,0.888494
1971-06-07,0.888415
1971-06-08,0.888573
1971-06-09,0.888336
1971-06-10,0.888415
1971-06-11,0.888336
1971-06-14,0.888573
1971-06-15,0.888573
1971-06-16,0.888415
1971-06-17,0.888494
1971-06-18,0.888415
1971-06-21,0.888415
1971-06-22,0.888494
1971-06-23,0.888257
1971-06-24,0.888415
1971-06-25,0.888415
1971-06-28,0.888652
1971-06-29,0.888494
1971-06-30,0.888257
1971-07-01,0.888494
1971-07-02,0.888494
1971-07-06,0.88881
1971-07-07,0.888573
1971-07-08,0.888178
1971-07-09,0.888731
1971-07-12,0.888731
1971-07-13,0.88881
1971-07-14,0.888573
1971-07-15,0.888573
1971-07-16,0.888494
1971-07-19,0.888731
1971-07-20,0.88881
1971-07-21,0.888494
1971-07-22,0.888573
1971-07-23,0.888494
1971-07-26,0.888889
1971-07-27,0.888889
1971-07-28,0.888652
1971-07-29,0.888652
1971-07-30,0.888731
1971-08-02,0.889047
1971-08-03,0.889205
1971-08-04,0.888415
1971-08-05,0.889521
1971-08-06,0.888652
1971-08-09,0.888415
1971-08-10,0.888573
1971-08-11,0.888257
1971-08-12,0.888257
1971-08-13,0.888336
1971-08-23,0.882613
1971-08-24,0.879121
1971-08-25,0.874126
1971-08-26,0.869263
1971-08-27,0.870398
1971-08-30,0.870701
1971-08-31,0.875887
1971-09-01,0.875657
1971-09-02,0.874585
1971-09-03,0.873744
1971-09-07,0.874279
1971-09-08,0.874202
1971-09-09,0.874126
1971-09-10,0.873897
1971-09-13,0.873591
1971-09-14,0.871384
1971-09-15,0.869792
1971-09-16,0.869792
1971-09-17,0.86949
1971-09-20,0.868734
1971-09-21,0.868961
1971-09-22,0.868734
1971-09-23,0.866476
1971-09-24,0.865726
1971-09-27,0.866476
1971-09-28,0.867303
1971-09-29,0.865276
1971-09-30,0.865052
1971-10-01,0.863409
1971-10-04,0.863558
1971-10-05,0.863409
1971-10-06,0.863782
1971-10-07,0.863409
1971-10-08,0.863111
1971-10-12,0.863334
1971-10-13,0.863483
1971-10-14,0.86326
1971-10-15,0.863483
1971-10-18,0.863334
1971-10-19,0.863409
1971-10-20,0.862738
1971-10-21,0.862441
1971-10-22,0.862218
1971-10-26,0.861772
1971-10-27,0.861623
1971-10-28,0.861846
1971-10-29,0.862664
1971-11-01,0.862218
1971-11-03,0.862069
1971-11-04,0.862218
1971-11-05,0.86192
1971-11-08,0.862069
1971-11-09,0.862292
1971-11-10,0.862292
1971-11-11,0.861995
1971-11-12,0.861846
1971-11-15,0.862069
1971-11-16,0.862143
1971-11-17,0.861846
1971-11-18,0.86192
1971-11-19,0.861846
1971-11-22,0.861846
1971-11-23,0.861772
1971-11-24,0.86192
1971-11-26,0.861846
1971-11-29,0.861846
1971-11-30,0.861846
1971-12-01,0.861772
1971-12-02,0.862143
1971-12-03,0.860215
1971-12-06,0.860511
1971-12-07,0.859254
1971-12-08,0.856971
1971-12-09,0.853679
1971-12-10,0.853461
1971-12-13,0.853242
1971-12-14,0.853097
1971-12-15,0.853242
1971-12-16,0.852951
1971-12-17,0.849762
1971-12-28,0.841043
1971-12-29,0.840901
1971-12-30,0.840831
1971-12-31,0.839419
1972-01-03,0.83682
1972-01-04,0.839278
1972-01-05,0.838574
1972-01-06,0.838926
1972-01-07,0.838574
1972-01-10,0.838574
1972-01-11,0.838223
1972-01-12,0.840336
1972-01-13,0.83682
1972-01-14,0.834725
1972-01-17,0.83612
1972-01-18,0.83612
1972-01-19,0.83682
1972-01-20,0.840336
1972-01-21,0.838926
1972-01-24,0.838223
1972-01-25,0.83682
1972-01-26,0.837521
1972-01-27,0.838223
1972-01-28,0.83682
1972-01-31,0.83682
1972-02-01,0.83682
1972-02-02,0.83682
1972-02-03,0.83682
1972-02-04,0.83682
1972-02-07,0.83682
1972-02-08,0.837521
1972-02-09,0.83682
1972-02-10,0.838574
1972-02-11,0.838574
1972-02-14,0.838574
1972-02-15,0.838574
1972-02-16,0.838574
1972-02-17,0.837521
1972-02-18,0.838574
1972-02-22,0.83682
1972-02-23,0.838574
1972-02-24,0.83682
1972-02-25,0.838574
1972-02-28,0.83682
1972-02-29,0.83682
1972-03-01,0.83682
1972-03-02,0.83682
1972-03-03,0.83682
1972-03-06,0.838926
1972-03-07,0.838574
1972-03-08,0.838926
1972-03-09,0.838574
1972-03-10,0.840336
1972-03-13,0.83682
1972-03-14,0.838926
1972-03-15,0.838926
1972-03-16,0.838926
1972-03-17,0.840336
1972-03-20,0.838926
1972-03-21,0.838926
1972-03-22,0.838926
1972-03-23,0.838926
1972-03-24,0.838926
1972-03-27,0.838926
1972-03-28,0.838926
1972-03-29,0.838926
1972-03-30,0.83682
1972-03-31,0.834725
1972-04-03,0.834725
1972-04-04,0.834725
1972-04-05,0.838926
1972-04-06,0.838926
1972-04-07,0.838926
1972-04-10,0.83682
1972-04-11,0.83682
1972-04-12,0.83682
1972-04-13,0.838574
1972-04-14,0.83682
1972-04-17,0.83682
1972-04-18,0.838223
1972-04-19,0.838223
1972-04-20,0.838574
1972-04-21,0.838926
1972-04-24,0.838223
1972-04-25,0.838926
1972-04-26,0.838574
1972-04-27,0.838223
1972-04-28,0.838574
1972-05-01,0.83682
1972-05-02,0.83682
1972-05-03,0.83682
1972-05-04,0.83682
1972-05-05,0.83682
1972-05-08,0.83682
1972-05-09,0.83682
1972-05-10,0.83682
1972-05-11,0.838574
1972-05-12,0.838574
1972-05-15,0.83682
1972-05-16,0.83682
1972-05-17,0.83682
1972-05-18,0.837521
1972-05-19,0.83682
1972-05-22,0.83682
1972-05-23,0.837521
1972-05-24,0.837521
1972-05-25,0.839631
1972-05-26,0.839631
1972-05-30,0.839631
1972-05-31,0.83682
1972-06-01,0.840336
1972-06-02,0.83612
1972-06-05,0.83682
1972-06-06,0.83682
1972-06-07,0.840336
1972-06-08,0.840336
1972-06-09,0.840336
1972-06-12,0.840336
1972-06-13,0.839631
1972-06-14,0.839631
1972-06-15,0.83682
1972-06-16,0.840336
1972-06-19,0.840336
1972-06-20,0.840336
1972-06-21,0.840336
1972-06-22,0.840336
1972-06-29,0.840336
1972-06-30,0.840336
1972-07-03,0.838926
1972-07-05,0.83682
1972-07-06,0.837872
1972-07-07,0.83682
1972-07-10,0.837521
1972-07-11,0.838223
1972-07-12,0.837521
1972-07-13,0.838574
1972-07-14,0.838926
1972-07-17,0.83682
1972-07-18,0.83682
1972-07-19,0.838574
1972-07-20,0.838574
1972-07-21,0.837521
1972-07-24,0.838574
1972-07-25,0.837521
1972-07-26,0.839631
1972-07-27,0.840336
1972-07-28,0.840336
1972-07-31,0.83682
1972-08-01,0.837521
1972-08-02,0.837521
1972-08-03,0.837521
1972-08-04,0.83682
1972-08-07,0.837521
1972-08-08,0.83682
1972-08-09,0.838223
1972-08-10,0.837521
1972-08-11,0.83682
1972-08-14,0.83682
1972-08-15,0.83682
1972-08-16,0.838223
1972-08-17,0.837521
1972-08-18,0.837521
1972-08-21,0.83682
1972-08-22,0.83682
1972-08-23,0.83682
1972-08-24,0.83682
1972-08-25,0.83682
1972-08-28,0.83682
1972-08-29,0.83682
1972-08-30,0.83682
1972-08-31,0.83682
1972-09-01,0.83682
1972-09-05,0.83682
1972-09-06,0.83682
1972-09-07,0.83682
1972-09-08,0.83682
1972-09-11,0.83682
1972-09-12,0.83682
1972-09-13,0.83682
1972-09-14,0.838574
1972-09-15,0.838574
1972-09-18,0.838574
1972-09-19,0.839278
1972-09-20,0.838926
1972-09-21,0.838574
1972-09-22,0.837521
1972-09-25,0.840336
1972-09-26,0.840336
1972-09-27,0.840336
1972-09-28,0.837521
1972-09-29,0.837521
1972-10-02,0.837521
1972-10-03,0.837521
1972-10-04,0.841397
1972-10-05,0.841397
1972-10-06,0.838574
1972-10-10,0.838574
1972-10-11,0.838574
1972-10-12,0.838574
1972-10-13,0.838574
1972-10-16,0.840336
1972-10-17,0.840336
1972-10-18,0.840336
1972-10-19,0.840336
1972-10-20,0.83682
1972-10-24,0.838574
1972-10-25,0.838926
1972-10-26,0.838574
1972-10-27,0.83682
1972-10-30,0.838574
1972-10-31,0.837521
1972-11-01,0.834028
1972-11-02,0.834725
1972-11-03,0.837521
1972-11-06,0.837521
1972-11-08,0.837521
1972-11-09,0.837521
1972-11-10,0.837521
1972-11-13,0.838574
1972-11-14,0.838926
