Trade Date,Settle
1953-09-01,5.189029
1953-09-02,5.191595
1953-09-03,5.192878
1953-09-04,5.192878
1953-09-05,5.191915
1953-09-07,5.194163
1953-09-08,5.192878
1953-09-09,5.194163
1953-09-10,5.19352
1953-09-11,5.194163
1953-09-12,5.195448
1953-09-14,5.196412
1953-09-15,5.195448
1953-09-16,5.19352
1953-09-17,5.192878
1953-09-18,5.192878
1953-09-19,5.189029
1953-09-21,5.188388
1953-09-22,5.185825
1953-09-23,5.186466
1953-09-24,5.185825
1953-09-25,5.188388
1953-09-26,5.186466
1953-09-28,5.186466
1953-09-29,5.181986
1953-09-30,5.185825
1953-10-01,5.18967
1953-10-02,5.190311
1953-10-03,5.186146
1953-10-05,5.186466
1953-10-06,5.185825
1953-10-07,5.185185
1953-10-08,5.182626
1953-10-09,5.187747
1953-10-10,5.186786
1953-10-12,5.187106
1953-10-13,5.183905
1953-10-14,5.183905
1953-10-15,5.180708
1953-10-16,5.178792
1953-10-17,5.180069
1953-10-19,5.180069
1953-10-20,5.183905
1953-10-21,5.183265
1953-10-22,5.181986
1953-10-23,5.181347
1953-10-24,5.181347
1953-10-26,5.181347
1953-10-27,5.180069
1953-10-28,5.180069
1953-10-29,5.17975
1953-10-30,5.17943
1953-10-31,5.178792
1953-11-02,5.178792
1953-11-03,5.17943
1953-11-04,5.17943
1953-11-05,5.181028
1953-11-06,5.181986
1953-11-07,5.182306
1953-11-09,5.183905
1953-11-10,5.184545
1953-11-11,5.185185
1953-11-12,5.183905
1953-11-13,5.183265
1953-11-14,5.183265
1953-11-16,5.182626
1953-11-17,5.182946
1953-11-19,5.183905
1953-11-20,5.186146
1953-11-21,5.186466
1953-11-23,5.186786
1953-11-24,5.187747
1953-11-25,5.18967
1953-11-26,5.190953
1953-11-27,5.194163
1953-11-28,5.196733
1953-11-30,5.195126
1953-12-01,5.195448
1953-12-02,5.194484
1953-12-03,5.194805
1953-12-04,5.195126
1953-12-05,5.196091
1953-12-07,5.196412
1953-12-08,5.197377
1953-12-09,5.197377
1953-12-10,5.20156
1953-12-11,5.204461
1953-12-12,5.201883
1953-12-14,5.201238
1953-12-15,5.202527
1953-12-16,5.201883
1953-12-17,5.203494
1953-12-18,5.203816
1953-12-19,5.204461
1953-12-21,5.206396
1953-12-22,5.207688
1953-12-23,5.207042
1953-12-24,5.204461
1953-12-28,5.205429
1953-12-29,5.206396
1953-12-30,5.206074
1953-12-31,5.207688
1954-01-04,5.207688
1954-01-05,5.208333
1954-01-06,5.206719
1954-01-07,5.206396
1954-01-08,5.206396
1954-01-09,5.207688
1954-01-11,5.20801
1954-01-12,5.208333
1954-01-13,5.210918
1954-01-14,5.211565
1954-01-15,5.211241
1954-01-16,5.211565
1954-01-18,5.210272
1954-01-19,5.209625
