Trade Date,EUR,AUD,CHF,GBP,JPY,NZD,SEK
1971-01-04,1.879029,0.898715,4.318,0.417746,357.73,0.897827,5.1643
1971-01-05,1.879174,0.898311,4.3117,0.417554,357.81,0.897424,5.1628
1971-01-06,1.879101,0.897666,4.3113,0.41724,357.86,0.896781,5.1614
1971-01-07,1.879319,0.897827,4.3103,0.41731,357.87,0.896861,5.1649
1971-01-08,1.879392,0.898957,4.3109,0.417153,357.82,0.896539,5.1631
1971-01-11,1.879392,0.8967,4.3102,0.416806,357.95,0.895817,5.1642
1971-01-12,1.879319,0.896379,4.3099,0.416649,358.06,0.895496,5.1643
1971-01-13,1.879174,0.895656,4.3095,0.416302,358.44,0.894694,5.1615
1971-01-14,1.879101,0.893735,4.3095,0.415438,358.4,0.892857,5.1625
1971-01-15,1.879174,0.894294,4.3076,0.415679,358.4,0.893416,5.164
1971-01-18,1.879247,0.894534,4.3029,0.415766,358.29,0.893575,5.1651
1971-01-19,1.879319,0.893416,4.3006,0.415265,358.35,0.892459,5.1657
1971-01-20,1.879174,0.893416,4.301,0.415282,358.4,0.892538,5.1636
1971-01-21,1.879319,0.893017,4.3017,0.415076,358.27,0.892061,5.1648
1971-01-22,1.879392,0.892538,4.2996,0.414886,357.9,0.891663,5.1626
1971-01-25,1.87961,0.890948,4.3005,0.41413,357.73,0.889996,5.1626
1971-01-26,1.881645,0.890472,4.2987,0.413907,357.78,0.889601,5.164
1971-01-27,1.8815,0.890472,4.2973,0.41389,357.79,0.889521,5.1635
1971-01-28,1.879901,0.890155,4.2978,0.413753,357.83,0.889205,5.1653
1971-01-29,1.879901,0.889996,4.2963,0.413668,357.72,0.889047,5.1675
1971-02-01,1.880119,0.889601,4.2968,0.413497,357.67,0.888652,5.1778
1971-02-02,1.880192,0.88968,4.2969,0.413548,357.55,0.88881,5.1778
1971-02-03,1.880192,0.889601,4.2965,0.413497,357.54,0.888652,5.1742
1971-02-04,1.88041,0.890234,4.2966,0.413787,357.51,0.889284,5.1733
1971-02-05,1.880119,0.890948,4.2969,0.41413,357.53,0.890076,5.1784
1971-02-08,1.880628,0.88968,4.2979,0.413531,357.49,0.888731,5.1813
1971-02-09,1.88041,0.890789,4.2969,0.414062,357.5,0.889917,5.1811
1971-02-10,1.880628,0.890551,4.2972,0.413924,357.5,0.889601,5.1799
1971-02-11,1.8807,0.890551,4.2967,0.413942,357.5,0.88968,5.1778
1971-02-16,1.880482,0.889284,4.2968,0.413343,357.53,0.888336,5.1752
1971-02-17,1.879901,0.889284,4.2968,0.413343,357.53,0.888336,5.1706
1971-02-18,1.880119,0.889363,4.2967,0.413377,357.53,0.888415,5.17
1971-02-19,1.880119,0.889363,4.2963,0.413394,357.56,0.888494,5.1692
1971-02-22,1.879538,0.889284,4.2958,0.41336,357.6,0.888415,5.1664
1971-02-23,1.880264,0.889284,4.2957,0.413343,357.55,0.888336,5.161
1971-02-24,1.880192,0.889284,4.3015,0.413343,357.6,0.888336,5.1631
1971-02-25,1.880192,0.889838,4.3073,0.413616,357.56,0.888968,5.1652
1971-02-26,1.880192,0.890472,4.307,0.413907,357.56,0.889601,5.1652
1971-03-01,1.880628,0.890393,4.3073,0.413873,357.63,0.889521,5.1631
1971-03-02,1.88041,0.889601,4.3054,0.413497,357.56,0.888652,5.1638
1971-03-03,1.880264,0.889284,4.3039,0.413343,357.49,0.888336,5.1622
1971-03-04,1.880119,0.889759,4.3068,0.413582,357.45,0.888889,5.1631
1971-03-05,1.879756,0.889601,4.3066,0.413514,357.59,0.888731,5.1631
1971-03-08,1.894944,0.889284,4.302,0.41336,357.55,0.888415,5.1635
1971-03-09,1.879683,0.889363,4.3011,0.413428,357.46,0.888415,5.1644
1971-03-10,1.87961,0.889284,4.304,0.41336,357.59,0.888415,5.1625
1971-03-11,1.87961,0.889442,4.3012,0.413428,357.56,0.888573,5.1636
1971-03-12,1.879319,0.889284,4.301,0.413343,357.58,0.888336,5.1626
1971-03-15,1.879756,0.889284,4.3004,0.413343,357.54,0.888336,5.1626
1971-03-16,1.87961,0.889601,4.3002,0.413514,357.49,0.888731,5.1623
1971-03-17,1.879392,0.889205,4.2995,0.413326,357.53,0.888336,5.1613
1971-03-18,1.879101,0.889363,4.2983,0.413394,357.56,0.888494,5.1625
1971-03-19,1.879174,0.889363,4.2972,0.413394,357.56,0.888494,5.1621
1971-03-22,1.878229,0.889284,4.2971,0.413343,357.44,0.888336,5.1617
1971-03-23,1.879392,0.889284,4.2972,0.413343,357.53,0.888336,5.162
